Threshold,TP,FP,TN,FN,TPR,FPR
0,141,152,959,10,0.933775,0.136814
5,141,152,959,10,0.933775,0.136814
10,141,152,959,10,0.933775,0.136814
15,141,152,959,10,0.933775,0.136814
20,141,152,959,10,0.933775,0.136814
25,141,152,959,10,0.933775,0.136814
30,141,152,959,10,0.933775,0.136814
35,141,152,959,10,0.933775,0.136814
40,141,152,959,10,0.933775,0.136814
45,141,152,959,10,0.933775,0.136814
50,141,152,959,10,0.933775,0.136814
55,141,152,959,10,0.933775,0.136814
60,141,152,959,10,0.933775,0.136814
65,141,152,959,10,0.933775,0.136814
70,141,152,959,10,0.933775,0.136814
75,141,152,959,10,0.933775,0.136814
80,141,152,959,10,0.933775,0.136814
85,141,152,959,10,0.933775,0.136814
90,141,152,959,10,0.933775,0.136814
95,141,152,959,10,0.933775,0.136814
100,141,152,959,10,0.933775,0.136814
105,141,152,959,10,0.933775,0.136814
110,141,152,959,10,0.933775,0.136814
115,141,152,959,10,0.933775,0.136814
120,141,152,959,10,0.933775,0.136814
125,141,152,959,10,0.933775,0.136814
130,141,152,959,10,0.933775,0.136814
135,141,152,959,10,0.933775,0.136814
140,141,152,959,10,0.933775,0.136814
145,141,152,959,10,0.933775,0.136814
150,141,152,959,10,0.933775,0.136814
155,141,152,959,10,0.933775,0.136814
160,141,152,959,10,0.933775,0.136814
165,141,150,961,10,0.933775,0.135014
170,141,147,964,10,0.933775,0.132313
175,141,134,977,10,0.933775,0.120612
180,141,112,999,10,0.933775,0.10081
185,141,82,1029,10,0.933775,0.073807
190,141,50,1061,10,0.933775,0.045005
195,141,30,1081,10,0.933775,0.027003
200,140,16,1095,11,0.927152,0.014401
205,138,7,1104,13,0.913907,0.006301
210,134,3,1108,17,0.887417,0.0027
215,127,1,1110,24,0.84106,0.0009
220,113,0,1111,38,0.748344,0
225,93,0,1111,58,0.615894,0
230,66,0,1111,85,0.437086,0
235,42,0,1111,109,0.278146,0
240,28,0,1111,123,0.18543,0
245,13,0,1111,138,0.086093,0
250,1,0,1111,150,0.006623,0
255,0,0,1111,151,0,0
,(ba,,,,,
